"filename", "language", "Python", "Shell Script", "Markdown", "MS SQL", "JSON", "TOML", "YAML", "Properties", "HTML", "Docker", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/agent/agent_init.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 371, 0, 0, 0, 0, 19, 390
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/init/postgres-init.sh", "Shell Script", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 57
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/team-cloud.Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 7, 17
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/web-shell/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1191, 0, 0, 137, 1328
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/deploy/team-cloud/web-shell/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/gateway/platforms/api_server.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 117
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/gateway/run.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/gateway/session.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/gateway/team_identity.py", "Python", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 246
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
