"filename", "language", "Python", "Shell Script", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/agent/agent_runtime_helpers.py", "Python", 10, 0, 0, 0, 0, 0, 0, 10
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/agent/tool_dispatch_helpers.py", "Python", 52, 0, 0, 0, 0, -49, 24, 27
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/agent/tool_executor.py", "Python", 13, 0, 0, 0, 0, 0, 0, 13
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/hermes_cli/plugins.py", "Python", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/model_tools.py", "Python", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/plugins/team_policy/__init__.py", "Python", 15, 0, 0, 0, 0, 8, 12, 35
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/plugins/team_policy/plugin.yaml", "YAML", 0, 0, 0, 0, 9, 0, 1, 10
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-foundation-smoke.sh", "Shell Script", 0, 5, 0, 0, 0, 0, 0, 5
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-import-sessiondb.py", "Python", 37, 0, 0, 0, 0, 2, 12, 51
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/scripts/team-cloud-memory-perf-baseline.py", "Python", 17, 0, 0, 0, 0, 2, 11, 30
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/teamDoc/GADoc/P2-21-memory-performance-baseline.md", "Markdown", 0, 0, 31, 0, 0, 0, 12, 43
