"filename", "language", "Markdown", "Python", "YAML", "JSON", "JSON Lines", "Shell Script", "Skill", "MS SQL", "JavaScript", "HTML", "Ini", "XML", "BibTeX", "LaTeX", "TeX", "Makefile", "PowerShell", "Batch", "TOML", "TypeScript", "PostCSS", "TypeScript JSX", "Properties", "Docker", "JSON with Comments", "Go Template File", "Ruby", "comment", "blank", "total"
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.envrc", "Shell Script", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/ISSUE_TEMPLATE/bug_report.yml", "YAML", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 163
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/ISSUE_TEMPLATE/config.yml", "YAML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/ISSUE_TEMPLATE/feature_request.yml", "YAML", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/ISSUE_TEMPLATE/setup_help.yml", "YAML", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 113
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/PULL_REQUEST_TEMPLATE.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 76
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/actions/hermes-smoke-test/action.yml", "YAML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 48
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/actions/nix-setup/action.yml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/dependabot.yml", "YAML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 45
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/workflows/contributor-check.yml", "YAML", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 74
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/workflows/deploy-site.yml", "YAML", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 98
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/workflows/docker-publish.yml", "YAML", 0, 0, 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 57, 535
"/Users/changzechuan/AIProjects/AgentProjects/HermesProjects/hermes-agent/.github/workflows/docs-site-checks.yml", "YAML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
